file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,,,
log2025-06-13 06:40:26.101445.txt,CERNET,0.2,FGSM,,AT,擾動,2483.466797,3368.59491,,2483.47,3368.59
log2025-06-13 06:40:26.101445.txt,CERNET,0.2,FGSM,,AT,未擾動,1798.999227,2492.932514,,1799,2492.93
log2025-06-13 06:40:26.101445.txt,CERNET,0.2,FGSM,,Normal,擾動,3546.763536,4578.881919,,3546.76,4578.88
log2025-06-13 06:40:26.101445.txt,CERNET,0.2,FGSM,,Normal,未擾動,1375.926907,1834.439323,,1375.93,1834.44
log2025-06-13 07:00:45.927126.txt,campus_processed,0.06,FGSM,,AT,擾動,10.53108912,15.28757269,,10.53,15.29
log2025-06-13 07:00:45.927126.txt,campus_processed,0.06,FGSM,,AT,未擾動,9.108456993,13.84069218,,9.11,13.84
log2025-06-13 07:00:45.927126.txt,campus_processed,0.06,FGSM,,Normal,擾動,12.91946001,17.20488432,,12.92,17.2
log2025-06-13 07:00:45.927126.txt,campus_processed,0.06,FGSM,,Normal,未擾動,9.015975761,13.40236923,,9.02,13.4
log2025-06-13 07:16:13.103331.txt,campus_processed,0.06,FGSM,,Mixup,擾動,12.4846405,17.40929132,,12.48,17.41
log2025-06-13 07:16:13.103331.txt,campus_processed,0.06,FGSM,,Mixup,未擾動,10.9629179,16.19947399,,10.96,16.2
log2025-06-13 07:16:13.103331.txt,campus_processed,0.06,FGSM,,Normal,擾動,13.03101721,17.29404812,,13.03,17.29
log2025-06-13 07:16:13.103331.txt,campus_processed,0.06,FGSM,,Normal,未擾動,9.283346558,13.83392752,,9.28,13.83
log2025-06-13 07:24:57.540063.txt,campus_processed,0.06,Normal,,AT,擾動,9.487986851,13.47727759,,9.49,13.48
log2025-06-13 07:24:57.540063.txt,campus_processed,0.06,Normal,,AT,未擾動,9.350346756,14.22672949,,9.35,14.23
log2025-06-13 07:24:57.540063.txt,campus_processed,0.06,Normal,,Normal,擾動,11.91829529,15.63029411,,11.92,15.63
log2025-06-13 07:24:57.540063.txt,campus_processed,0.06,Normal,,Normal,未擾動,8.995145702,13.37639227,,9,13.38
log2025-06-13 07:36:52.045246.txt,campus_processed,0.06,Normal,,Mixup,擾動,11.12275743,14.90140101,,11.12,14.9
log2025-06-13 07:36:52.045246.txt,campus_processed,0.06,Normal,,Mixup,未擾動,10.709657,15.98482382,,10.71,15.98
log2025-06-13 07:36:52.045246.txt,campus_processed,0.06,Normal,,Normal,擾動,12.0386323,15.79458167,,12.04,15.79
log2025-06-13 07:36:52.045246.txt,campus_processed,0.06,Normal,,Normal,未擾動,8.974845028,13.41585396,,8.97,13.42
log2025-06-13 07:45:59.277932.txt,campus_processed,0.09,FGSM,,AT,擾動,11.72786608,17.13133527,,11.73,17.13
log2025-06-13 07:45:59.277932.txt,campus_processed,0.09,FGSM,,AT,未擾動,10.13080959,15.67035122,,10.13,15.67
log2025-06-13 07:45:59.277932.txt,campus_processed,0.09,FGSM,,Normal,擾動,15.47318687,20.49797723,,15.47,20.5
log2025-06-13 07:45:59.277932.txt,campus_processed,0.09,FGSM,,Normal,未擾動,8.798562336,13.11381333,,8.8,13.11
log2025-06-13 07:58:50.476761.txt,campus_processed,0.09,FGSM,,Mixup,擾動,13.51057529,18.62847463,,13.51,18.63
log2025-06-13 07:58:50.476761.txt,campus_processed,0.09,FGSM,,Mixup,未擾動,11.29022894,16.80069444,,11.29,16.8
log2025-06-13 07:58:50.476761.txt,campus_processed,0.09,FGSM,,Normal,擾動,16.66399145,21.76303089,,16.66,21.76
log2025-06-13 07:58:50.476761.txt,campus_processed,0.09,FGSM,,Normal,未擾動,8.635228729,12.88462556,,8.64,12.88
log2025-06-13 08:07:15.216758.txt,campus_processed,0.09,Normal,,AT,擾動,10.17331266,13.97143071,,10.17,13.97
log2025-06-13 08:07:15.216758.txt,campus_processed,0.09,Normal,,AT,未擾動,9.985558414,15.34252293,,9.99,15.34
log2025-06-13 08:07:15.216758.txt,campus_processed,0.09,Normal,,Normal,擾動,18.30609436,22.99754375,,18.31,23
log2025-06-13 08:07:15.216758.txt,campus_processed,0.09,Normal,,Normal,未擾動,8.75000782,13.09140095,,8.75,13.09
log2025-06-13 08:20:04.110961.txt,campus_processed,0.09,Normal,,Mixup,擾動,11.6619215,15.2523517,,11.66,15.25
log2025-06-13 08:20:04.110961.txt,campus_processed,0.09,Normal,,Mixup,未擾動,11.07691879,16.71196186,,11.08,16.71
log2025-06-13 08:20:04.110961.txt,campus_processed,0.09,Normal,,Normal,擾動,17.444627,22.06730331,,17.44,22.07
log2025-06-13 08:20:04.110961.txt,campus_processed,0.09,Normal,,Normal,未擾動,8.839910793,13.03842647,,8.84,13.04
log2025-06-13 08:29:22.231981.txt,campus_processed,0.15,FGSM,,AT,擾動,12.49687204,18.83337368,,12.5,18.83
log2025-06-13 08:29:22.231981.txt,campus_processed,0.15,FGSM,,AT,未擾動,10.80511465,17.05628981,,10.81,17.06
log2025-06-13 08:29:22.231981.txt,campus_processed,0.15,FGSM,,Normal,擾動,20.10545435,26.87227489,,20.11,26.87
log2025-06-13 08:29:22.231981.txt,campus_processed,0.15,FGSM,,Normal,未擾動,8.70961504,13.22096185,,8.71,13.22
log2025-06-13 08:43:03.916871.txt,campus_processed,0.15,FGSM,,Mixup,擾動,14.68402281,20.25601959,,14.68,20.26
log2025-06-13 08:43:03.916871.txt,campus_processed,0.15,FGSM,,Mixup,未擾動,11.97209578,18.00619658,,11.97,18.01
log2025-06-13 08:43:03.916871.txt,campus_processed,0.15,FGSM,,Normal,擾動,22.42087822,29.14941051,,22.42,29.15
log2025-06-13 08:43:03.916871.txt,campus_processed,0.15,FGSM,,Normal,未擾動,8.814433193,13.20829011,,8.81,13.21
log2025-06-13 08:52:11.277597.txt,campus_processed,0.15,Normal,,AT,擾動,10.33513708,14.4454707,,10.34,14.45
log2025-06-13 08:52:11.277597.txt,campus_processed,0.15,Normal,,AT,未擾動,10.69188662,16.86622218,,10.69,16.87
log2025-06-13 08:52:11.277597.txt,campus_processed,0.15,Normal,,Normal,擾動,25.58609867,32.11460653,,25.59,32.11
log2025-06-13 08:52:11.277597.txt,campus_processed,0.15,Normal,,Normal,未擾動,8.76744442,13.12487869,,8.77,13.12
log2025-06-13 09:07:53.970514.txt,campus_processed,0.15,Normal,,Mixup,擾動,12.31450529,15.73712217,,12.31,15.74
log2025-06-13 09:07:53.970514.txt,campus_processed,0.15,Normal,,Mixup,未擾動,12.06749296,18.05028611,,12.07,18.05
log2025-06-13 09:07:53.970514.txt,campus_processed,0.15,Normal,,Normal,擾動,25.92151413,32.13788093,,25.92,32.14
log2025-06-13 09:07:53.970514.txt,campus_processed,0.15,Normal,,Normal,未擾動,8.832684326,13.11155691,,8.83,13.11
log2025-06-13 09:18:00.059082.txt,CERNET,0.06,FGSM,,AT,擾動,1843.077295,2328.570387,,1843.08,2328.57
log2025-06-13 09:18:00.059082.txt,CERNET,0.06,FGSM,,AT,未擾動,1412.521252,1881.711232,,1412.52,1881.71
log2025-06-13 09:18:00.059082.txt,CERNET,0.06,FGSM,,Normal,擾動,1951.073206,2442.507683,,1951.07,2442.51
log2025-06-13 09:18:00.059082.txt,CERNET,0.06,FGSM,,Normal,未擾動,1326.985217,1783.483001,,1326.99,1783.48
log2025-06-13 09:25:22.857255.txt,CERNET,0.06,FGSM,,Mixup,擾動,1830.764587,2382.480276,,1830.76,2382.48
log2025-06-13 09:25:22.857255.txt,CERNET,0.06,FGSM,,Mixup,未擾動,1427.594666,1938.993087,,1427.59,1938.99
log2025-06-13 09:25:22.857255.txt,CERNET,0.06,FGSM,,Normal,擾動,1939.974036,2403.621823,,1939.97,2403.62
