file,dataset_name,epsilon,attack_method,,method,state,mae,rmse
log2025-06-18 03:11:48.998295.txt,CERNET,0.15,FGSM,,Mixup,擾動,2384.534961,3134.179252692365
log2025-06-18 03:11:48.998295.txt,CERNET,0.15,FGSM,,Mixup,未擾動,1397.199658203125,1998.1848444646878
log2025-06-18 03:11:48.998295.txt,CERNET,0.15,FGSM,,Normal,擾動,2887.104052734375,3733.9715109007757
log2025-06-18 03:11:48.998295.txt,CERNET,0.15,FGSM,,Normal,未擾動,1242.7056518554687,1675.695321921913
log2025-06-18 03:18:08.605885.txt,CERNET,0.15,Normal,,AT,擾動,2232.6181762695314,3114.4728650535667
log2025-06-18 03:18:08.605885.txt,CERNET,0.15,Normal,,AT,未擾動,1693.409912109375,2390.5899419875527
log2025-06-18 03:18:08.605885.txt,CERNET,0.15,Normal,,Normal,擾動,3722.166162109375,4237.894354005909
log2025-06-18 03:18:08.605885.txt,CERNET,0.15,Normal,,Normal,未擾動,1277.8243041992187,1714.3989435356702
log2025-06-18 03:24:27.679411.txt,CERNET,0.15,Normal,,Mixup,擾動,2538.5963623046873,3225.6327741649743
log2025-06-18 03:24:27.679411.txt,CERNET,0.15,Normal,,Mixup,未擾動,1445.830273,2048.6229748667347
log2025-06-18 03:24:27.679411.txt,CERNET,0.15,Normal,,Normal,擾動,3722.2192626953124,4216.397295707012
log2025-06-18 03:24:27.679411.txt,CERNET,0.15,Normal,,Normal,未擾動,1253.4702758789062,1719.1763689864508
log2025-06-18 03:30:26.424318.txt,CERNET,0.2,FGSM,,AT,擾動,2460.055908203125,3503.2139209411976
log2025-06-18 03:30:26.424318.txt,CERNET,0.2,FGSM,,AT,未擾動,1793.4086669921876,2672.2881326656293
log2025-06-18 03:30:26.424318.txt,CERNET,0.2,FGSM,,Normal,擾動,3579.1118408203124,4675.068934069995
log2025-06-18 03:30:26.424318.txt,CERNET,0.2,FGSM,,Normal,未擾動,1359.7402709960938,1828.758708363635
log2025-06-18 03:36:54.168750.txt,CERNET,0.2,FGSM,,Mixup,擾動,2619.590185546875,3437.8071837262564
log2025-06-18 03:36:54.168750.txt,CERNET,0.2,FGSM,,Mixup,未擾動,1499.0103881835937,2110.872837792311
log2025-06-18 03:36:54.168750.txt,CERNET,0.2,FGSM,,Normal,擾動,3432.8759521484376,4527.6037803334375
log2025-06-18 03:36:54.168750.txt,CERNET,0.2,FGSM,,Normal,未擾動,1238.8432006835938,1673.579723172055
log2025-06-18 03:43:11.154813.txt,CERNET,0.2,Normal,,AT,擾動,2646.9642944335938,3657.456387109067
log2025-06-18 03:43:11.154813.txt,CERNET,0.2,Normal,,AT,未擾動,2000.082373046875,2851.4284976684107
log2025-06-18 03:43:11.154813.txt,CERNET,0.2,Normal,,Normal,擾動,4860.399609,5392.962907872688
log2025-06-18 03:43:11.154813.txt,CERNET,0.2,Normal,,Normal,未擾動,1305.962891,1767.4870244251579
log2025-06-18 03:49:32.011529.txt,CERNET,0.2,Normal,,Mixup,擾動,2762.0373291015626,3482.826180521255
log2025-06-18 03:49:32.011529.txt,CERNET,0.2,Normal,,Mixup,未擾動,1476.0557006835938,2101.453194007818
log2025-06-18 03:49:32.011529.txt,CERNET,0.2,Normal,,Normal,擾動,4955.985595703125,5470.12705
log2025-06-18 03:49:32.011529.txt,CERNET,0.2,Normal,,Normal,未擾動,1276.1029052734375,1731.9376099546776
